measure,value,unit,period
Orders processed,15345,,May 2026 to August 2026
Registered users,4773,,May 2026 to August 2026
Average order value,1195,NGN,May 2026 to August 2026
Order completion rate,91,%,May 2026 to August 2026
Repeat purchase rate,66.4,%,May 2026 to August 2026
Instagram share of orders,66,%,May 2026 to August 2026
Instagram share of spend,58,%,May 2026 to August 2026
TikTok share of orders,8,%,May 2026 to August 2026
YouTube share of orders,3,%,May 2026 to August 2026
YouTube share of spend,14,%,May 2026 to August 2026
Average YouTube order value,6336,NGN,May 2026 to August 2026
Average Spotify order value,2422,NGN,May 2026 to August 2026
Average Telegram order value,187,NGN,May 2026 to August 2026
Nigerian targeted follower price per 1000,17205,NGN,August 2026
Untargeted follower price per 1000,3818,NGN,August 2026
Nigerian targeted followers share of IG follower spend,55,%,May 2026 to August 2026
Average targeted follower order value,5675,NGN,May 2026 to August 2026
Average untargeted follower order value,1559,NGN,May 2026 to August 2026
Targeting premium multiplier,4.5,x,May 2026 to August 2026
